Time(s)	      V	      Theta      	Psi_V       X       Y       Z       Mass       Gamma       DeltaY       DeltaZ        Alpha       Beta       Gamma_V       nx2       ny2       nz2        mach       X       Y       Z       X0       Y0       Z0       X_delta       Y_delta        Z_delta       P       q       wx       DeltaY4       DeltaZ4       JX       YZ       S       L       mywx_beta  cy/cx 
0.230000       248.847340       0.000000       0.000000       57.367387       2.000000       0.000000       18.400000       0.000000       0.000000       7.855957       2.525024       0.000000       0.000000       -0.509749       1.000000       -0.000000       0.731297       91.917886       180.311694       0.000000       88.138689       164.132281       0.000000       3.779198       16.179412       0.000000       0.000000       37922.041893       0.000000       0.000000       7.855957       0.024000       1.570000       0.011400       1.027000       0.000000       1.961661       
0.240000       248.797395       0.000000       0.000000       59.855610       2.000000       0.000000       18.400000       0.000000       0.000000       7.863168       2.526245       0.000000       0.000000       -0.509589       1.000000       -0.000000       0.731150       91.889021       180.342256       0.000000       88.105590       164.153173       0.000000       3.783431       16.189082       0.000000       0.000000       37906.821075       0.000000       0.000000       7.863168       0.024000       1.570000       0.011400       1.027000       0.000000       1.962609       
0.250000       248.747467       0.000000       0.000000       62.343335       2.000000       0.000000       18.400000       0.000000       0.000000       7.864877       2.526245       0.000000       0.000000       -0.509354       1.000000       -0.000000       0.731003       91.846760       180.272447       0.000000       88.063727       164.086329       0.000000       3.783033       16.186119       0.000000       0.000000       37891.608461       0.000000       0.000000       7.864877       0.024000       1.570000       0.011400       1.027000       0.000000       1.962752       
0.260000       248.697556       0.000000       0.000000       64.830560       2.000000       0.000000       18.400000       0.000000       0.000000       7.872094       2.527466       0.000000       0.000000       -0.509194       1.000000       -0.000000       0.730857       91.817931       180.302973       0.000000       88.030669       164.107186       0.000000       3.787261       16.195787       0.000000       0.000000       37876.404043       0.000000       0.000000       7.872094       0.024000       1.570000       0.011400       1.027000       0.000000       1.963701       
0.270000       248.647660       0.000000       0.000000       67.317286       2.000000       0.000000       18.400000       0.000000       0.000000       7.879314       2.528687       0.000000       0.000000       -0.509035       1.000000       -0.000000       0.730710       91.789116       180.333462       0.000000       87.997629       164.128007       0.000000       3.791487       16.205455       0.000000       0.000000       37861.207448       0.000000       0.000000       7.879314       0.024000       1.570000       0.011400       1.027000       0.000000       1.964650       
0.280000       248.597785       0.000000       0.000000       69.803513       2.000000       0.000000       18.400000       0.000000       0.000000       7.886538       2.529907       0.000000       0.000000       -0.508875       1.000000       -0.000000       0.730563       91.760320       180.363921       0.000000       87.964611       164.148797       0.000000       3.795709       16.215124       0.000000       0.000000       37846.020146       0.000000       0.000000       7.886538       0.024000       1.570000       0.011400       1.027000       0.000000       1.965598       
0.290000       248.547927       0.000000       0.000000       72.289241       2.000000       0.000000       18.400000       0.000000       0.000000       7.888251       2.529907       0.000000       0.000000       -0.508641       1.000000       -0.000000       0.730417       91.718149       180.294150       0.000000       87.922844       164.081994       0.000000       3.795305       16.212155       0.000000       0.000000       37830.841023       0.000000       0.000000       7.888251       0.024000       1.570000       0.011400       1.027000       0.000000       1.965741       
0.300000       248.498085       0.000000       0.000000       74.774472       2.000000       0.000000       18.400000       0.000000       0.000000       7.895480       2.531128       0.000000       0.000000       -0.508481       1.000000       -0.000000       0.730270       91.689390       180.324572       0.000000       87.889866       164.102750       0.000000       3.799523       16.221822       0.000000       0.000000       37815.670073       0.000000       0.000000       7.895480       0.024000       1.570000       0.011400       1.027000       0.000000       1.966690       
0.310000       248.448264       0.000000       0.000000       77.259203       2.000000       0.000000       18.400000       0.000000       0.000000       7.902713       2.532349       0.000000       0.000000       -0.508322       1.000000       -0.000000       0.730124       91.660649       180.354965       0.000000       87.856911       164.123476       0.000000       3.803738       16.231490       0.000000       0.000000       37800.508395       0.000000       0.000000       7.902713       0.024000       1.570000       0.011400       1.027000       0.000000       1.967638       
0.320000       248.398460       0.000000       0.000000       79.743437       2.000000       0.000000       18.400000       0.000000       0.000000       7.904428       2.532349       0.000000       0.000000       -0.508089       1.000000       -0.000000       0.729978       91.618548       180.285233       0.000000       87.815218       164.056715       0.000000       3.803330       16.228518       0.000000       0.000000       37785.354877       0.000000       0.000000       7.904428       0.024000       1.570000       0.011400       1.027000       0.000000       1.967781       
0.330000       248.348673       0.000000       0.000000       82.227172       2.000000       0.000000       18.400000       0.000000       0.000000       7.911666       2.533569       0.000000       0.000000       -0.507929       1.000000       -0.000000       0.729831       91.589843       180.315590       0.000000       87.782304       164.077406       0.000000       3.807540       16.238184       0.000000       0.000000       37770.209511       0.000000       0.000000       7.911666       0.024000       1.570000       0.011400       1.027000       0.000000       1.968729       
0.340000       248.298906       0.000000       0.000000       84.710410       2.000000       0.000000       18.400000       0.000000       0.000000       7.918908       2.534790       0.000000       0.000000       -0.507770       1.000000       -0.000000       0.729685       91.561157       180.345917       0.000000       87.749410       164.098067       0.000000       3.811746       16.247850       0.000000       0.000000       37755.073398       0.000000       0.000000       7.918908       0.024000       1.570000       0.011400       1.027000       0.000000       1.969677       
0.350000       248.249156       0.000000       0.000000       87.193151       2.000000       0.000000       18.400000       0.000000       0.000000       7.920625       2.534790       0.000000       0.000000       -0.507537       1.000000       -0.000000       0.729539       91.519126       180.276225       0.000000       87.707792       164.031349       0.000000       3.811334       16.244875       0.000000       0.000000       37739.945425       0.000000       0.000000       7.920625       0.024000       1.570000       0.011400       1.027000       0.000000       1.969820       
0.360000       248.199422       0.000000       0.000000       89.675394       2.000000       0.000000       18.400000       0.000000       0.000000       7.927872       2.536011       0.000000       0.000000       -0.507378       1.000000       -0.000000       0.729393       91.490476       180.306516       0.000000       87.674940       164.051976       0.000000       3.815536       16.254540       0.000000       0.000000       37724.825586       0.000000       0.000000       7.927872       0.024000       1.570000       0.011400       1.027000       0.000000       1.970768       
0.370000       248.149707       0.000000       0.000000       92.157139       2.000000       0.000000       18.400000       0.000000       0.000000       7.935122       2.537231       0.000000       0.000000       -0.507220       1.000000       -0.000000       0.729247       91.461842       180.336773       0.000000       87.642107       164.072568       0.000000       3.819735       16.264205       0.000000       0.000000       37709.714243       0.000000       0.000000       7.935122       0.024000       1.570000       0.011400       1.027000       0.000000       1.971716       
