TIME(s)       V       a11       a12       a13       a14       a15       a16       a21       a22       a23       a24       a24_       a25       a25_       a26       a31       a32       a33       a34       a35       a36       b11       b12       b13       b14       b15       b16       b17       b18       b21       b22       b23       b24       b24_       b25       b25_       b26       b27       b28       b31       b32       b33       b34       b35       b36       b37       b38       q       ny2       nz2       
0.250000       248.747467       -2.543966       0.000000       -9.800000       -22.018757       -2.702982       0.054348       1.964604       -1.649569       0.000000       -364.297192       0.000000       119.984280       0.000000       0.636943       0.000595       0.000000       0.000000       0.899383       0.021726       0.000218       -4.372618       0.000000       0.000000       0.000000       0.000000       0.000000       229.118733       41.666667       0.000000       -1.592484       0.000000       -309.759600       0.000000       95.063272       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000973       0.000000       0.822628       0.054018       -0.039359       0.000000       -0.000218       37891.608461       1.000000       -0.000000
0.260000       248.697556       -2.543428       0.000000       -9.800000       -22.007965       -2.701339       0.054348       1.965691       -1.649120       0.000000       -364.151014       0.000000       119.901978       0.000000       0.636943       0.000597       0.000000       0.000000       0.899194       0.021727       0.000219       -4.371740       0.000000       0.000000       0.000000       0.000000       0.000000       228.984929       41.666667       0.000000       -1.591979       0.000000       -309.640245       0.000000       95.013656       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000974       0.000000       0.822466       0.054004       -0.039367       0.000000       -0.000219       37876.404043       1.000000       -0.000000
0.270000       248.647660       -2.542889       0.000000       -9.800000       -21.997179       -2.699697       0.054348       1.966778       -1.648671       0.000000       -364.004911       0.000000       119.819739       0.000000       0.636943       0.000598       0.000000       0.000000       0.899006       0.021727       0.000219       -4.370863       0.000000       0.000000       0.000000       0.000000       0.000000       228.850852       41.666667       0.000000       -1.591473       0.000000       -309.520950       0.000000       94.964071       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000975       0.000000       0.822303       0.053991       -0.039375       0.000000       -0.000219       37861.207448       1.000000       -0.000000
0.280000       248.597785       -2.542351       0.000000       -9.800000       -21.986400       -2.698056       0.054348       1.967865       -1.648222       0.000000       -363.858897       0.000000       119.737570       0.000000       0.636943       0.000600       0.000000       0.000000       0.898818       0.021727       0.000219       -4.369986       0.000000       0.000000       0.000000       0.000000       0.000000       228.716520       41.666667       0.000000       -1.590968       0.000000       -309.401727       0.000000       94.914523       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000976       0.000000       0.822141       0.053977       -0.039383       0.000000       -0.000219       37846.020146       1.000000       -0.000000
0.290000       248.547927       -2.541412       0.000000       -9.800000       -21.976368       -2.696580       0.054348       1.967897       -1.647793       0.000000       -363.712962       0.000000       119.671854       0.000000       0.636943       0.000599       0.000000       0.000000       0.898629       0.021724       0.000219       -4.369110       0.000000       0.000000       0.000000       0.000000       0.000000       228.542655       41.666667       0.000000       -1.590538       0.000000       -309.277634       0.000000       94.866981       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000976       0.000000       0.821969       0.053963       -0.039391       0.000000       -0.000219       37830.841023       1.000000       -0.000000
0.300000       248.498085       -2.540874       0.000000       -9.800000       -21.965601       -2.694942       0.054348       1.968984       -1.647345       0.000000       -363.567106       0.000000       119.589805       0.000000       0.636943       0.000601       0.000000       0.000000       0.898441       0.021724       0.000219       -4.368234       0.000000       0.000000       0.000000       0.000000       0.000000       228.407995       41.666667       0.000000       -1.590033       0.000000       -309.158538       0.000000       94.817497       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000977       0.000000       0.821807       0.053949       -0.039398       0.000000       -0.000219       37815.670073       1.000000       -0.000000
0.310000       248.448264       -2.540337       0.000000       -9.800000       -21.954841       -2.693305       0.054348       1.970071       -1.646896       0.000000       -363.421338       0.000000       119.507826       0.000000       0.636943       0.000602       0.000000       0.000000       0.898253       0.021725       0.000219       -4.367358       0.000000       0.000000       0.000000       0.000000       0.000000       228.273081       41.666667       0.000000       -1.589528       0.000000       -309.039515       0.000000       94.768050       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000978       0.000000       0.821644       0.053936       -0.039406       0.000000       -0.000219       37800.508395       1.000000       -0.000000
0.320000       248.398460       -2.539399       0.000000       -9.800000       -21.944828       -2.691832       0.054348       1.970103       -1.646468       0.000000       -363.275650       0.000000       119.442272       0.000000       0.636943       0.000602       0.000000       0.000000       0.898065       0.021721       0.000219       -4.366483       0.000000       0.000000       0.000000       0.000000       0.000000       228.099248       41.666667       0.000000       -1.589098       0.000000       -308.915627       0.000000       94.720607       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000978       0.000000       0.821472       0.053921       -0.039414       0.000000       -0.000219       37785.354877       1.000000       -0.000000
0.330000       248.348673       -2.538863       0.000000       -9.800000       -21.934081       -2.690197       0.054348       1.971190       -1.646020       0.000000       -363.130039       0.000000       119.360413       0.000000       0.636943       0.000604       0.000000       0.000000       0.897877       0.021722       0.000219       -4.365607       0.000000       0.000000       0.000000       0.000000       0.000000       227.964007       41.666667       0.000000       -1.588594       0.000000       -308.796731       0.000000       94.671225       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000978       0.000000       0.821310       0.053908       -0.039422       0.000000       -0.000219       37770.209511       1.000000       -0.000000
0.340000       248.298906       -2.538327       0.000000       -9.800000       -21.923340       -2.688563       0.054348       1.972276       -1.645572       0.000000       -362.984518       0.000000       119.278624       0.000000       0.636943       0.000605       0.000000       0.000000       0.897690       0.021722       0.000219       -4.364733       0.000000       0.000000       0.000000       0.000000       0.000000       227.828515       41.666667       0.000000       -1.588089       0.000000       -308.677907       0.000000       94.621879       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000979       0.000000       0.821148       0.053894       -0.039430       0.000000       -0.000219       37755.073398       1.000000       -0.000000
